threshold,accuracy,precision,recall,f1
0.3,0.8089887640449438,0.7160883280757098,0.8315018315018315,0.7694915254237288
0.35,0.8089887640449438,0.7322033898305085,0.7912087912087912,0.7605633802816901
0.4,0.8117977528089888,0.7564575645756457,0.7509157509157509,0.7536764705882353
0.45,0.8146067415730337,0.7786561264822134,0.7216117216117216,0.7490494296577946
0.5,0.8103932584269663,0.7899159663865546,0.6886446886446886,0.735812133072407
0.55,0.8132022471910112,0.8181818181818182,0.6593406593406593,0.7302231237322515
0.6,0.824438202247191,0.8737373737373737,0.6336996336996337,0.7346072186836518
0.65,0.8216292134831461,0.8924731182795699,0.608058608058608,0.7233115468409586
0.7,0.8188202247191011,0.9,0.5934065934065934,0.7152317880794702
