model,accuracy,precision,recall,f1,roc_auc
logistic_regression_baseline,0.7935157868307073,0.7441364994810619,0.7074168797953965,0.7242325101895855,0.852035544681665
logistic_regression_balanced,0.7879040863724812,0.7082644800377017,0.7629582267689685,0.7339264965762489,0.8521137215084751
decision_tree_baseline,0.8147950536689473,0.8330600605775083,0.652003410059676,0.7286516636795157,0.8425621486220045
decision_tree_balanced,0.7811436821291822,0.6844511614980955,0.8038363171355499,0.7373381126211316,0.8439820765670738
random_forest_baseline,0.8439897056054233,0.8497741771944721,0.7221653878942881,0.7800518736810792,0.8759962017225209
random_forest_balanced,0.8305379448873266,0.7768614497085745,0.783461210571185,0.7795723117462247,0.874103732365775
